MetaboClusterNeg	ZV101	ZV103	ZV104	ZV105	ZV106	ZV108	ZV109	ZV110	ZV111	ZV112	ZV113	ZV114	ZV115	ZV116	ZV117	ZV118	ZV119	ZV120	ZV121	ZV122	ZV125	ZV126	ZV127	ZV128	ZV129	ZV131	ZV132	ZV133	ZV134	ZV135	ZV136	ZV137	ZV138	ZV139	ZV142	ZV143	ZV144	ZV201	ZV202	ZV203	ZV204	ZV205	ZV206	ZV207	ZV208	ZV209	ZV210	ZV211	ZV212	ZV214	ZV215	ZV216	ZV217	ZV219	ZV220	ZV221	ZV222	ZV223	ZV224	ZV225	ZV226	ZV227	ZV228	ZV230	ZV231	ZV232	ZV233	ZV234	ZV235	ZV236	ZV238	ZV239
D1/0_Clus_neg_13	0.0725327102804	0.0221962616822	0.0339065420561	-0.0529813084112	-0.0805607476636	0.0816728971963	0.0418224299065	0.040953271028	0.00721495327103	-0.0487757009346	-0.00395327102804	0.160280373832	-0.0716728971963	0.130214953271	-0.025476635514	-0.060476635514	0.0471028037383	-0.0213831775701	0.0588504672897	-0.0726448598131	0.106093457944	-0.114401869159	0.0826261682243	-0.130654205607	0.102317757009	0.077	-0.114457943925	0.0219906542056	0.0215420560748	0.514093457944	0.0740934579439	0.081	1.33188785047	-0.0873551401869	-0.0156635514019	-0.168897196262	-0.0339906542056	0.0276635514019	0.00797196261682	0.0192242990654	0.0116261682243	-0.164028037383	-0.11761682243	0.0299906542056	-0.206411214953	-0.0946355140187	0.623401869159	0.0316355140187	-0.0933271028037	-0.0644485981308	-0.0358878504673	0.0734579439252	-0.00105607476636	-0.0402336448598	-0.0262803738318	-0.213644859813	0.0637289719626	0.0327102803738	-0.0604392523364	0.022214953271	-0.0210186915888	-0.00018691588785	-0.0157009345794	-0.0923831775701	-0.0116448598131	-0.122504672897	0.0846261682243	-0.0730186915888	-0.130308411215	0.124420560748	-0.0380841121495	-0.0245887850467
D1/0_Clus_neg_25	-0.603607954545	0.377227272727	0.856181818182	-0.3341875	0.105914772727	1.72714204545	0.197034090909	-0.141664772727	-0.272085227273	0.335068181818	-0.00805681818182	0.122590909091	1.59008522727	1.48438636364	-0.137846590909	-0.17875	0.595017045455	-0.886363636364	0.382965909091	-0.719619318182	0.659375	0.689511363636	-0.434375	0.114460227273	-0.349318181818	-0.538181818182	-0.0833465909091	0.919142045455	-0.519426136364	1.37972159091	1.24244886364	1.11728409091	-0.338113636364	-0.764238636364	-0.878039772727	0.102715909091	-0.184528409091	0.644852272727	-0.894431818182	0.782732954545	-0.00155681818182	0.453738636364	0.0902386363636	-0.794710227273	-0.456164772727	1.35992045455	0.339102272727	0.857136363636	1.0003125	0.383079545455	-0.293931818182	0.0599431818182	-0.988397727273	-0.637232954545	-1.89867613636	0.0605170454545	1.09500568182	0.141465909091	-0.229823863636	-0.512477272727	0.289068181818	-1.8276875	-0.724465909091	0.0523011363636	0.4705625	-0.157761363636	0.169227272727	0.458073863636	-0.642534090909	0.0556647727273	0.268920454545	-0.999789772727
D1/0_Clus_neg_154	-0.3225	-0.27675	-0.0196666666667	-0.0628333333333	0.06625	-0.13525	-0.200166666667	-0.0275833333333	0.151333333333	-0.0335	0.0598333333333	-0.049	-0.0346666666667	-0.13375	-0.107833333333	0.0725	-0.3235	0.254083333333	-0.0175833333333	0.0668333333333	-0.256333333333	-0.306833333333	0.1285	-0.101083333333	0.139666666667	0.00191666666667	0.16875	-0.179	0.112416666667	-0.158666666667	-0.189583333333	-0.16975	-0.00791666666667	0.06975	0.33925	0.0715	0.48975	-0.150666666667	0.2125	-0.202	0.0568333333333	-0.00258333333333	-0.171416666667	0.294166666667	-0.0661666666667	-0.3225	-0.395583333333	-0.150166666667	-0.394083333333	-0.16075	0.11225	-0.0999166666667	0.61	0.2295	0.8615	-0.191583333333	-0.229833333333	0.02375	-0.114583333333	-0.0115	-0.115666666667	1.00375	0.304416666667	0.135166666667	0.112416666667	0.0383333333333	0.0608333333333	-0.354083333333	0.0825	-0.101833333333	-0.121	0.163416666667
D1/0_Clus_neg_195	0.0166666666667	0.0326666666667	-0.107066666667	-0.276933333333	0.179066666667	0.3192	0.00706666666667	0.1472	-0.420066666667	0.0215333333333	0.314266666667	-0.1854	0.2668	-0.0802666666667	0.1022	-0.326466666667	-0.1106	0.502933333333	0.1636	-0.519733333333	-0.210266666667	-0.0710666666667	0.337266666667	-0.176133333333	-0.569466666667	0.283	0.282933333333	0.137533333333	-0.275266666667	0.761533333333	0.1804	0.747066666667	3.235	-0.1536	0.0452	-0.117933333333	0.2936	0.0599333333333	-0.216733333333	-0.133933333333	-0.0524	0.123733333333	-0.0164666666667	0.0420666666667	0.0395333333333	0.280333333333	0.564	-0.2358	-0.0797333333333	-0.0724666666667	-0.0158666666667	0.217066666667	0.0678	-0.316733333333	-0.161066666667	-0.0937333333333	-0.361	0.143533333333	0.0603333333333	0.1226	-0.127133333333	-0.523933333333	0.373066666667	0.170466666667	0.152666666667	-0.346533333333	0.4852	0.164066666667	0.14	0.197466666667	-0.1728	-0.0537333333333
D1/0_Clus_neg_257	-0.758615384615	-0.867769230769	0.825	0.493615384615	-0.554	-1.03469230769	-0.297230769231	-0.021	-0.185	0.117923076923	-0.113538461538	-0.0520769230769	0.416538461538	0.01	-0.957461538462	-0.120615384615	-0.061	-0.0762307692308	-0.889307692308	0.591307692308	-0.204	0.405615384615	0.195615384615	-0.291	0.103846153846	0.0438461538462	-0.298	-0.142461538462	-0.396692307692	0.837846153846	0.653769230769	-0.407538461538	0.0196153846154	-1.37092307692	0.368230769231	1.175	0.0478461538462	0.374615384615	0.8	0.0170769230769	-0.314076923077	0.0931538461538	-0.232384615385	-0.435846153846	0.149307692308	-0.280769230769	0.644307692308	0.558230769231	-0.635230769231	-0.463615384615	-0.481692307692	-0.0311538461538	-1.06946153846	-0.0454615384615	-0.110076923077	-0.00692307692308	0.292153846154	0.169769230769	-0.0473076923077	-0.651769230769	0.558307692308	-0.236923076923	-0.0673846153846	-0.464769230769	-0.0520769230769	0.463307692308	0.374384615385	0.864923076923	-0.188538461538	-0.572615384615	-0.176230769231	-0.604076923077
D1/0_Clus_neg_1038	1.79006666667	-0.618333333333	-0.215933333333	0.525466666667	2.47113333333	-0.0597333333333	1.1216	-0.497266666667	0.561733333333	-0.0919333333333	-0.198866666667	0.752	0.1718	-0.238	-0.2702	0.250266666667	-0.2562	0.6632	-0.186733333333	-0.565733333333	0.2736	0.5086	0.0137333333333	0.377466666667	0.2336	0.235666666667	0.707	-0.239533333333	-0.226	-0.344066666667	0.2118	0.2596	3.2014	-0.0771333333333	0.712066666667	0.228333333333	-0.0638	-0.293533333333	1.0532	-0.150333333333	0.270866666667	-0.125133333333	0.439733333333	-0.552	0.320466666667	0.377333333333	0.000666666666667	-0.5246	0.114666666667	0.6082	-0.229933333333	-0.269933333333	0.5308	-0.483	-0.0137333333333	-0.307066666667	0.680533333333	0.5008	0.0624666666667	-0.242866666667	-0.285	-0.737066666667	-0.235733333333	0.129866666667	0.298533333333	-0.0894666666667	-0.107933333333	0.915133333333	0.0617333333333	-0.1158	-0.3288	0.581933333333
D1/0_Clus_neg_11	0.834285714286	-0.32280952381	4.99114285714	0.0824285714286	0.314	-0.039619047619	-0.0151428571429	-0.0838571428571	0.0377142857143	-0.0631428571429	-0.137095238095	-0.0313333333333	0.107428571429	0.970761904762	-0.186571428571	-0.0848095238095	-0.303476190476	0.10880952381	0.00980952380952	-0.204857142857	0.174761904762	0.0254285714286	-0.0454761904762	0.0687142857143	0.0872380952381	0.159238095238	-0.212857142857	0.0260952380952	-0.163523809524	0.202666666667	0.0292857142857	0.128	0.176476190476	0.0281904761905	-0.146428571429	0.166761904762	0.713666666667	-0.0137142857143	0.291619047619	0.0862380952381	-0.0693333333333	-0.149428571429	-0.0984761904762	0.0405714285714	0.120095238095	0.330523809524	0.0982380952381	-0.125285714286	0.000142857142857	0.237619047619	-0.11580952381	-0.00861904761905	0.319285714286	0.0256666666667	0.0332857142857	-0.0656666666667	-0.0412380952381	0.369047619048	0.0328571428571	-0.0589047619048	-0.0603333333333	-0.0889523809524	-0.106047619048	-0.123285714286	0.059380952381	-0.129523809524	-0.00357142857143	0.124666666667	-0.121571428571	0.144380952381	-0.245571428571	-0.0721428571429
D1/0_Clus_neg_160	-0.1518	-0.4418	-0.0243	-0.7459	-0.1985	0.0571	-0.5735	0.2945	0.1289	0.1147	0.3	-0.1043	-0.2198	-0.2823	-0.2934	-0.7139	0.1036	0.3785	-0.254	-0.3145	0.076	0.0266	0.0471	-0.5996	0.1482	0.123	0.1609	0.1582	0.4145	0.1051	0.4651	-0.0648	-0.3085	-0.2554	0.0472	0.0954	-0.1415	-0.6653	0.7769	-0.3732	-0.5603	-0.1626	-0.8322	-0.2159	0.1098	0.5157	0.3804	0.8866	-0.436	0.0864	0.7891	-0.2208	-0.1232	-0.052	-0.0646	0.5658	0.1088	-0.2141	0.0419	-0.414	-0.4495	0.1823	-0.0395	0.145	0.5586	0.0554	-0.1823	-0.2376	-0.6148	-0.647	-0.0224	0.1353
D1/0_Clus_neg_130	-0.0893	-0.14364	0.5132	0.24964	-0.50596	-1.29802	-0.22224	-0.26518	-0.19978	-0.08472	-0.91882	0.01092	0.29358	0.18136	-0.77514	0.40754	0.42132	-0.25722	0.05714	0.1117	-0.05246	-0.04814	-0.33138	0.11982	-0.66178	-0.36004	-0.51026	0.22178	-0.58412	-0.107	0.0793	-0.34446	0.43762	-0.19344	-0.07572	0.61316	0.30498	-0.28778	0.3126	0.18234	-0.2585	-0.0598	0.50312	0.23716	-0.084	0.1227	-0.39668	0.04136	0.22206	0.3672	-0.06644	-0.24222	-1.40564	0.76754	-1.63786	-0.21082	-0.14198	0.22386	-0.11126	0.31096	0.41742	-1.8783	-1.71116	-0.4197	-0.4467	0.04352	0.3683	0.37432	-0.20258	0.06422	-0.2604	-0.26114
D1/0_Clus_neg_1121	-0.5368125	0.518625	-3.0331875	0.49525	-0.206875	0.14575	0.950125	-0.0744375	0.9471875	-0.888	1.3303125	0.7060625	0.7930625	2.059125	0.8903125	0.9906875	0.44275	-0.67075	-1.2029375	1.944875	0.18825	0.7190625	0.1635	-0.3391875	-1.3108125	-0.2525	-1.1996875	-2.1431875	-1.44775	1.3245625	0.54825	0.0205625	0.217375	0.8199375	-0.7071875	0.90075	-0.51	1.2340625	-1.75725	0.091875	0.68925	-1.1459375	0.1618125	-0.129375	1.862375	-0.763375	1.322375	-1.4215625	-1.2260625	-0.265375	-0.01775	-0.405375	1.716875	0.65275	-0.3934375	-0.8621875	0.53075	-0.945125	-1.0813125	-0.6476875	1.2193125	0.6185	0.911625	-1.9050625	-0.6129375	0.40725	-0.2119375	-0.36575	0.083	-0.9835625	-1.0934375	0.633625
